id,title,url,img_url,chanell,rating
AK0NZITv5Ns,"Example adding within 20",http://www.youtube.com/watch?v=AK0NZITv5Ns&feature=youtube_gdata,http://i1.ytimg.com/vi/AK0NZITv5Ns/hqdefault.jpg,khanacademy,3.7586207
ie0waMJxnTs,"Pieces of fruit",http://www.youtube.com/watch?v=ie0waMJxnTs&feature=youtube_gdata,http://i1.ytimg.com/vi/ie0waMJxnTs/hqdefault.jpg,khanacademy,3.8
9XZypM2Z3Ro,"Creating a number grid",http://www.youtube.com/watch?v=9XZypM2Z3Ro&feature=youtube_gdata,http://i1.ytimg.com/vi/9XZypM2Z3Ro/hqdefault.jpg,khanacademy,4.3488374
9McJ3GobPaY,"Subtracting within 20",http://www.youtube.com/watch?v=9McJ3GobPaY&feature=youtube_gdata,http://i1.ytimg.com/vi/9McJ3GobPaY/hqdefault.jpg,khanacademy,3.3529413
RDgF0F_9PwM,"26 Inconsistent science",http://www.youtube.com/watch?v=RDgF0F_9PwM&feature=youtube_gdata,http://i1.ytimg.com/vi/RDgF0F_9PwM/hqdefault.jpg,khanacademy,4.5254235
LicLl3epJqg,"Ben Eater eats the numbers",http://www.youtube.com/watch?v=LicLl3epJqg&feature=youtube_gdata,http://i1.ytimg.com/vi/LicLl3epJqg/hqdefault.jpg,khanacademy,4.5555553
0_DYEFtlCiM,"Solving the matrix vector equation",http://www.youtube.com/watch?v=0_DYEFtlCiM&feature=youtube_gdata,http://i1.ytimg.com/vi/0_DYEFtlCiM/hqdefault.jpg,khanacademy,5.0
EC2mgUZyzoA,"Matrix equations and systems",http://www.youtube.com/watch?v=EC2mgUZyzoA&feature=youtube_gdata,http://i1.ytimg.com/vi/EC2mgUZyzoA/hqdefault.jpg,khanacademy,4.5616436
8Ryfe82DTcM,"Associative property of matrix multiplication",http://www.youtube.com/watch?v=8Ryfe82DTcM&feature=youtube_gdata,http://i1.ytimg.com/vi/8Ryfe82DTcM/hqdefault.jpg,khanacademy,4.529412
z-_cqpkacWY,"Equivalence of matrix products with scalars",http://www.youtube.com/watch?v=z-_cqpkacWY&feature=youtube_gdata,http://i1.ytimg.com/vi/z-_cqpkacWY/hqdefault.jpg,khanacademy,5.0
OjF765iVuF8,"Equivalent matrix expressions",http://www.youtube.com/watch?v=OjF765iVuF8&feature=youtube_gdata,http://i1.ytimg.com/vi/OjF765iVuF8/hqdefault.jpg,khanacademy,4.529412
z-SU7P-gIoQ,"Is matrix multiplication commutative",http://www.youtube.com/watch?v=z-SU7P-gIoQ&feature=youtube_gdata,http://i1.ytimg.com/vi/z-SU7P-gIoQ/hqdefault.jpg,khanacademy,4.6666665
Kh8HKAxdEyw,"Transformation matrix for position vector",http://www.youtube.com/watch?v=Kh8HKAxdEyw&feature=youtube_gdata,http://i1.ytimg.com/vi/Kh8HKAxdEyw/hqdefault.jpg,khanacademy,4.68
RKBSX-6pKgY,"Matrix transformation on triangle",http://www.youtube.com/watch?v=RKBSX-6pKgY&feature=youtube_gdata,http://i1.ytimg.com/vi/RKBSX-6pKgY/hqdefault.jpg,khanacademy,4.3513513
